Channel,Count,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry
1,7,0.8021428571433457,50.184288232471125,11.005538456901741,1.9923385996226355,0.2924074579994179,12.189284745764553,9.428571428571429,0.531985935797618
100,36,0.7233333333332155,44.96352239628115,10.306820688381167,1.974055880126588,0.2810885759511765,12.30045038652812,8.666666666666666,0.5409086744205014
101,10,0.6599999999998545,44.614875573856224,9.98383613330294,1.9210986137354706,0.28197151663708697,12.286561516320168,8.0,0.43181100934989214
106,2,0.6099999999996726,61.48153611388159,11.600822071057435,2.0912349231110863,0.2917603643712434,12.306169911413429,7.5,0.32230392156862747
109,1,0.5850000000009459,31.036678352929247,8.622250890988248,1.65190219754343,0.2634430742752145,12.469289920553644,8.0,0.6694915254237288
11,4,0.681250000000091,51.75551457689638,10.900299785102051,1.9673186492008086,0.27684786398518124,12.47264799136183,8.0,0.3981249491249491
110,7,0.6850000000002703,41.31175858671234,9.482049736196347,1.9005061537734182,0.2854257297491252,12.268929688766166,8.142857142857142,0.4917085906406771
115,1,0.9050000000006548,88.09120157670833,13.819674672735985,2.3162396141155353,0.3507826954523583,12.396357430548859,11.0,0.2802197802197802
119,5,0.6589999999996508,38.589584980286,9.580838135182223,1.8493132697941306,0.2659698841635975,12.28985539002796,8.2,0.41952383785201175
12,2,0.5674999999991996,37.89171963897144,9.566081664270055,2.0291853037485312,0.28810928818255854,12.47482580745843,7.0,0.373720397249809
128,8,0.6799999999998363,43.27030485357105,9.667997184925374,1.9190664029370588,0.28488532772231523,12.325454345980326,8.25,0.4348174306978932
129,35,0.6619999999999631,42.65275086699168,9.671207197847506,1.9248606669484154,0.272723812267263,12.299694683415119,8.028571428571428,0.5106745987705569
13,1,0.6399999999994179,70.93496690646951,15.154299376165097,2.2273887650824156,0.31135551271972417,12.70956913796369,8.0,0.8294573643410853
130,52,0.7482692307691449,50.50562463294698,11.460328524571961,2.077576711629354,0.29784462397204375,12.315078400135867,9.096153846153847,0.49159397734992594
131,63,0.7277777777778557,52.88310999066839,11.8427663366282,2.112526228447257,0.2952041381366164,12.300290935552798,8.761904761904763,0.4667403522023465
132,71,0.7553521126762565,53.94148002877682,12.26772842701953,2.1424624178171254,0.30249925875987804,12.24582654147853,9.084507042253522,0.4809775277430961
14,3,0.6966666666667152,71.27113462912133,15.157183261162283,2.2932901650984445,0.29127034705866645,12.453919045567348,8.333333333333334,0.5416656854110048
