Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel
10846.6,10847.12,10847.245,0.6450000000004366,68.62491816323887,15.39561508181299,2.3191355302273626,0.26067624507616816,12.291854320383399,8.0,0.8,1,0
12763.05,12763.404999999999,12763.905,0.8550000000013824,44.59909856314071,9.942364444844179,1.9942037455720376,0.33228241415929494,12.126702492159588,11.0,0.4127906976744186,1,0
12772.87,12773.485,12773.725,0.8549999999995634,38.72694246384735,8.984923745605588,1.6746335098556753,0.25015869886631575,12.36486954864815,9.0,0.7151162790697675,1,0
12906.21,12906.375,12906.905,0.695000000001528,43.1922170027088,9.919405940448975,1.990522979679266,0.2768251737668345,12.178840631037584,8.0,0.2357142857142857,1,0
13529.93,13530.405,13530.88,0.9499999999989086,67.72713640335317,12.956198538027254,2.063519319985092,0.32074984327639106,12.14450434246004,11.0,0.4973821989528796,1,0
14328.635,14329.175000000001,14329.415,0.7800000000006548,43.258107821383895,10.15348045648818,1.9436794369145476,0.25913716252789365,12.093464821511084,9.0,0.6878980891719745,1,0
14750.035,14750.35,14750.87,0.8350000000009459,45.161597209625086,9.68678099108501,1.960675675124467,0.3470226683230273,12.124757064152025,10.0,0.375,1,0
10816.04,10816.445000000002,10816.615,0.5749999999989086,43.25817970956645,10.109934101538077,1.802424101928874,0.23602716722990927,12.734389450034797,8.0,0.6982758620689655,2,1
16335.325,16335.5,16335.885,0.5599999999994907,34.08676938204191,8.73432015883276,1.9746383935946161,0.2510057939498476,13.478816758614844,7.0,0.30973451327433627,2,1
16521.425,16521.68,16521.995,0.569999999999709,35.12483118440516,8.301936801240721,1.7703048658729967,0.2509590684373106,13.00560876323117,8.0,0.4434782608695652,2,1
12962.755,12963.009999999998,12963.35,0.5950000000011642,50.06610022637918,11.59593994123601,2.1151220300882954,0.24277610093381574,11.90421104469149,7.0,0.425,4,3
13031.93,13032.295,13032.535,0.6049999999995634,45.16651418127221,11.502479304666002,2.0435794249533017,0.27376103183036593,12.171908729866862,7.0,0.5983606557377049,4,3
13098.985,13099.720000000001,13100.115,1.1299999999991996,57.73343054224986,11.357869826422107,2.038740928101737,0.33328984073569645,12.18862245894409,13.0,0.6475770925110133,4,3
16649.87,16649.98,16650.415,0.5450000000018917,71.66987296343851,16.049197414345688,2.2034254102022777,0.26862398765930945,12.331678762479697,7.0,0.2,4,3
17380.53,17381.015,17381.125,0.5950000000011642,56.30567732890526,13.135745788106437,2.181022471643749,0.27097337110088915,12.693171211630279,8.0,0.8083333333333333,4,3
456.48,456.94,457.265,0.7849999999999682,55.09865551882094,12.733879958634514,2.118724462145636,0.3013220850952784,12.591551820745794,9.0,0.5822784810126582,5,4
10846.59,10846.905,10847.2,0.6100000000005821,76.56593880134679,15.106854981988231,2.306747213527219,0.23515606737112124,12.444968897838997,7.0,0.5121951219512195,5,4
13031.8,13032.035,13032.635,0.8350000000009459,54.87508005217598,11.353827444103805,2.148326006954977,0.3670328295957191,12.178652084138617,10.0,0.27976190476190477,5,4
13098.92,13099.72,13100.195,1.2749999999996362,59.290801896919376,12.051166801296572,2.204819399937178,0.3703902068477908,12.112979194453999,15.0,0.625,5,4
13161.745,13161.810000000001,13162.33,0.5849999999991269,54.550596404748674,12.586048146834585,2.0753148294429744,0.24668437878504662,12.142439355330408,7.0,0.11016949152542373,5,4
13239.56,13239.855,13240.39,0.8299999999999272,56.266335264214085,12.43711967658892,2.0063490130438124,0.3269853945872421,12.174992432318472,10.0,0.3532934131736527,5,4
13688.95,13689.335000000001,13689.455,0.5049999999991996,43.803719119694875,11.877099347593747,2.018349901972564,0.24989423059120427,11.861317972363985,6.0,0.7549019607843137,5,4
17380.065,17380.535,17381.21,1.1450000000004366,74.97360639998703,15.856918356560744,2.34037004962986,0.35474307194340793,12.643781313414204,13.0,0.40869565217391307,5,4
10846.5,10846.905,10847.295,0.7950000000000728,107.74383295397728,19.307339167746857,2.6283570195420314,0.37148579170903767,12.318714490782199,10.0,0.50625,6,5
12825.925,12826.179999999998,12826.44,0.5150000000012369,66.64455816547343,15.248114342378246,2.362229522179457,0.2856742199830059,12.086296133692866,7.0,0.49038461538461536,6,5
13031.765,13032.035,13032.865,1.1000000000003638,57.78958690371019,12.91434357109707,2.246582391205701,0.395181290678354,12.226358671648102,14.0,0.24434389140271492,6,5
13073.66,13073.975,13074.315,0.6550000000006548,75.90577158156744,16.906452765409263,2.4230547387215626,0.2683901375874898,12.257309051178265,8.0,0.4772727272727273,6,5
13098.865,13099.72,13100.215,1.3500000000003638,67.18644398393603,14.22737426236361,2.3279676558421474,0.37480046293921015,12.111183938780979,16.0,0.6309963099630996,6,5
13134.58,13134.83,13135.24,0.6599999999998545,47.14898438796022,11.98560503505953,2.2043165113398353,0.2594790740278731,11.975917067119898,7.0,0.37593984962406013,6,5
13161.63,13161.804999999998,13162.41,0.7800000000006548,70.42046197789661,16.011680256056753,2.2266867785094075,0.2750533861294283,12.209814873396766,10.0,0.2229299363057325,6,5
13239.535,13239.695,13240.545,1.0100000000002183,80.7669248469492,15.008562914970497,2.2550803572080667,0.39177379118626887,12.134798017953988,12.0,0.15763546798029557,6,5
13530.02,13530.29,13530.735,0.7150000000001455,69.95349186010637,13.469827644026607,2.2454493727366245,0.3027119503321519,12.070685898739514,9.0,0.375,6,5
13688.92,13689.34,13689.445,0.5249999999996362,46.66269064497621,12.761386955093753,2.092542648020263,0.25931886868585574,11.851257905982623,6.0,0.7924528301886793,6,5
